ipa_phoneme,english_translation,description,original_characters
HrewdH-,to weep,"Compare *h₃rewH- ""to howl, shout, speak noisily"".",HrewdH-
HrewH-,"to dig out, to root",,(H)rewH-
Hrewp-,"to break, tear (up)","Perhaps an extension of *Hrew- ""to tear out, dig out"". Compare also *h₁reyp- ""to tear, tear down"".",Hrewp-
Hreǵ-,"to stretch out, reach",,Hreyǵ-
He₁-,to throw,,(H)yeh₁-
Hekʷ-,liver,,Hyekʷ-
Hewdʰ-,"moving erect, to be agitated or push forward in such a fashion that one is straight or upright (for example as walking into battle)","A derivation from *h₂yew-,t=straight, upright, most likely with *-dʰh₁eti.",Hyewdʰ-
ḱe₁s-,"to teach, to indicate",,ḱeh₁s-
ḱe₂d-,"hatred], [angriness",Speculative links have been made to *ḱh₂d-|t=to fall.,ḱeh₂d-
ḱel-,to cover,Reconstruction:Proto-Indo-European/ḱel-,ḱel-
ḱenk-,to hang,"Reconstruction of a Proto-Indo-European root meaning ""to hang"".",ḱenk-
ḱens-,"to announce, to proclaim; to put in order",Perhaps an old ingressive s-formation of *ḱem-,ḱens-
ḱer-,"to grow, to make grow, to nourish",,ḱer-
ḱerd-,heart,,ḱerd-
ḱer₂-,"head, top; horn","Potentially a collective derivation in *-h₂ from *ḱer-||to grow, of which the original root noun may be fossilized in crās. A possible loan relation with *ḳarn-||horn has also been suggested.",ḱerh₂-
ḱers-,to run,*k̂ers- 'to run',ḱers-
ḱes-,to cut,,ḱes-
ḱew₁-,"to swell, to be strong",etymological notes,ḱewh₁-
ḱe-,"to be lying down, to settle","The meaning ""to be lying down"" might come from ""to have fallen"" as the meaning ""to fall"" occurs in Celtic and Sanskrit.",ḱey-
ḱep-,"to ridicule, mock, anger",Reconstruction:Proto-Indo-European/ḱeyp-,ḱeyp-
kagʰ-,"to hold, keep; to close, enclose; that which encloses: fence, hedge, barrier; enclosed space, fenced field, pasture",etymological notes,kagʰ-
ḱ₂d-,to fall,"Speculative links have been made to *keh₂d- 'hatred, angriness'.",ḱh₂d-
kakka-,to defecate,"Probably a Lallwort of imitative/expressive origin. Calvert Watkins claimed in particular: ""imitative of glottal closure during defecation"".",kakka-
ḱlew-,to hear,"From Proto-Indo-European *ḱel- ""to incline"", possibly related to Uralic *kule- ""to hear"" with metathesis of 'l' and 'w'",ḱlew-
ḱlewH-,"to clean, rinse, slide",,ḱlewH-
ḱlews-,to hear,"Reanalyzed from *ḱléwseti, se-desiderative of *ḱlew-.",ḱlews-
ḱle-,"to shelter, cover",,ḱley-
kap-,"to seize, to grab; to hold",etymological notes,kap-
ḱwen-,"holy, sacred",,ḱwen-
ḱwes-,"to puff, sigh",etymological notes,ḱwes-
ḱwet-,to shine,Reconstruction:Proto-Indo-European/ḱweyt-,ḱweyt-
ke₁w-,"to wobble, swing",,keh₁w-
ke₂-,to desire,Reconstruction:Proto-Indo-European/keh₂-,keh₂-
ke₂n-,to sing,,keh₂n-
ke₃-,to fight,,keh₃-
keH-,"to heat, to become hot",Proto-Indo-European root meaning 'hot',keHy-
kel-,"to drive, particularly of animals",,kel-
kelH-,"to rise, to be tall; hill",,kelH-
kel₁-,"to call, cry, summon",,kelh₁-
kel₂-,"to beat, to break",,kelh₂-
kemH-,to hum,Possible late North-West Indo-European isogloss.,kemH-
ken-,"to arise, begin",Reconstruction:Proto-Indo-European/ken-,ken-
ker-,army,,ker-
kerp-,"to pluck, harvest","Ultimately derived from Proto-Indo-European *(s)ker-, ""to cut"". A general word for ""to harvest"" that had a tendency in some branches to be specialized for the picking of fruit while in others for the reaping of grain.",kerp-
kes-,"to scrape, comb",etymological notes,kes-
kew₂-,"to hit, to strike; to forge",,kewh₂-
kewk-,"to elevate, height",,kewk-
ke₂-,"to move, be in motion",,keyh₂-
*ket-,"to shine, glow","According to Lubotsky, all derived terms are actually from *kʷeyt-/*(s)kʷeyt-, with loss of labialization in front of *o in Germanic. On the other hand, Kummel argues that the terms at *kʷeyt- could instead belong to *keyt-.",keyt-
k₂em-,"to bend, to curve; to smooth","The presence of short *a in all descendants is difficult to explain, and the validity of a root structure *CHeC- is not universally accepted. An alternative, though equally tentative, solution is that some or all of the cognate set are derived from a common substratum continuum. The Greek terms may point to a non-Indo-European substratum.",kh₂em-
k₂ed-,"to cut, hew","Possibly from *(s)kh₂ey- (perhaps whence *hajaną to pound) with an unknown suffix *-d-, possibly reanalyzed from *sek-/*sekh₂- to cut, sever and *-éyti.",kh₂eyd-
kle₂-,"to put, to lay out",etymological notes,kleh₂-
kle₂w-,"a hook, crook, peg; to close something","*kleh₂u-d-; *kl(e)h₂u̯-īd-; *kleh₂u- i - , -o-",kleh₂w-
klep-,to steal,,klep-
kl̥H-,"bald, naked","Formally unable to be related to *gelH-; however, the superficial phonetic and semantic resemblance of the two roots, as well as the existence of words meaning ""bald"" (a non-basic vocabulary term) in various descendants of both roots via the same suffixing pattern of *-wó-s, is striking.",kl̥H-
krep-,body,,krep-
kres-,"to move, be agitated; spring, surge, wave",,kres-
kret-,"to be strong, to swell",Proto-Indo-European extension *kre-t-,kret-
krewH-,"to pile, stack, place on top, cover",,krewH-
krew₂-,blood outside the body as of a wound,,krewh₂-
krews-,"to freeze, become hard",,krews-
kre-,"to sift, separate, divide",,krey-
krows-,"to push, bump, strike, break","Possibly an extended form of *krew(H)- as found in *hrewwaną and *krun-, to strike, hit. κρούω may reflect either root.",krows-
ksen-,"to card, scratch","Reanalysed root of *kés-r̥ ~ *ks-én-s, from *kes- 'to scrape, comb' with *-r̥ n-stem suffix.",ksen-
ksew-,"to scrape, shave, sharpen","Reanalysed root of *kés-u-s ~ *ks-éw-s, from *kes- 'to scrape, comb'",ksew-
ksnew-,"to scrape, sharpen","Reanalysed root of *ksnéwti, from *kes- 'to scrape, comb' + *-néwti present suffix.",ksnew-
kswebʰ-,"to move swiftly, make a swift movement; to swing, shake, to be swinging; to whip, cast, throw",etymological notes,ksweybʰ-
kū-,"to cry out, call, howl",Possibly onomatopoeic in origin.,kū-
*kwep-,"to smoke, to steam; to boil; aroma, strong odor","Most likely innovated root, which appeared in Late Proto-Indo-European. Beekes does not suggest Indo-European origin for the Greek data. Rix (in LIV) reconstructs two or three distinct roots: *keu̯p-, *ku̯eh₁p-, and possibly *ku̯ep-. The Balto-Slavic data is inconclusive - Derksen distinguishes at least two different roots *kwep- (to smell, aroma) and *kʷh₂wep- (to steam, to burn). The root also resembles the wanderwort Κύπρος (Cyprus), cuprum (copper), which is of Middle Eastern origin.",kwep-
kw₂et-,"to bubble, to foam; to ferment, become sour",,kwh₂et-
ke₂-,to sieve,,kyeh₂-
kʷ-,the primary interrogative root,"Theorized by some linguists, particularly proponents of the Indo-Uralic hypothesis, to be related to the Uralic interrogative root *ku-.",kʷ-
kʷe₁-,perceive,,kʷeh₁y-
kʷe₂s-,to cough,,kʷeh₂s-
kʷeḱ-,"to see, to look",etymological notes,kʷeḱ-
kʷel₁-,"to turn, end-over-end; to revolve around, sojourn, dwell","The root must be reconstructed with -h₁- in order to explain some forms in Greek and Celtic, including Proto-Greek *kʷélh₁-dʰe-ti > τελέθω and Proto-Celtic *kʷalnati > Welsh pallu, Old Irish imm·cella. However, this reconstruction contradicts some forms in other languages, e.g. Proto-Italic *kʷl̥-tó-s > Latin cultus (not **clātus < **kʷl̥h₁-tós), which can be explained by various secondary processes.",kʷelh₁-
kʷels-,"to pull, drag; to turn",,kʷels-
kʷem-,to swallow,,kʷem-
kʷer-,"to do, to make, to build","The original meaning is often reconstructed as ""to carve, to shape by cutting"", based on the Anatolian forms.",kʷer-
kʷe-,"to pay, to avenge",Some sources reconstruct this root with a laryngeal *kʷeh₁y-.,kʷey-
kʷes-,to see; to heed,"Extended from *kʷey- ""to perceive""",kʷeys-
kʷet-,to notice,"Per LIV, it is assumed that the root is a t-extension of *kʷey-||to estimate",kʷeyt-
kʷre₂-,to buy,etymological notes,kʷreyh₂-
kʷe₁-,"to rest, rest, peace",Reconstruction:Proto-Indo-European/kʷyeh₁-,kʷyeh₁-
kʷsewd-,"to crush, disperse; to disintegrate",Possibly from *ksew- 'to scrape',k⁽ʷ⁾sewd-
*leb-,"to hang down loosely, lip, to lick","The reconstruction is uncertain, and contains the rare PIE phoneme *b. A secondary form *lh₂P- also exists, with a variety of labials standing in for P. Moreover, the Iranian initial l- is irregular. The root therefore probably originates from a substrate language or is onomatopoeic (imitative of e.g. licking, smacking lips).",leb-
leg-,to leak,,leg-
leǵ-,"to gather, collect, with derivatives meaning to speak by carefully selecting one's words",etymological notes,leǵ-
legʰ-,"to lie, to be in resting position",,legʰ-
le₁-,"soft, calm; lazy, slow",Reconstruction:Proto-Indo-European/leh₁-,leh₁-
le₁d-,"to be tired, to leave",,leh₁d-
le₂-,"to bark, howl",,leh₂-
le₂w-,"to seize, gain; benefit, prize",etymological notes,leh₂w-
lek-,"to jump, scuttle along",,lek-
*len-,soft,etymological notes,len-
lendʰ-,"land, heath",,lendʰ-
les-,"to gather, to collect",etymological notes,les-
lew-,dirt,"Proto-Indo-European root meaning ""dirt""",lew-
lewbʰ-,"to desire, covet, want (someone or something); to admire, praise; to love; to be disturbed",,lewbʰ-
lewd-,"to crouch, duck, bend","Several descendants show abstracting semantic shifts from ""to bend down"" (or ""crouch over"") to negative qualities or states of being, but these seem to be independent. Compare the semantics of the English word ""stoop"".",lewd-
lewg-,to bend,,lewg-
lewǵ-,"break (off), shatter",,lewǵ-
lew₃-,to wash,Reconstruction:Proto-Indo-European/lewh₃-,lewh₃-
lewk-,"bright], [to shine], [to see",etymological notes,lewk-
leid-,"to let, allow; to let go, release","Rix suggests that this root derives from the root above. Alternatively related to *leyg- 'to jump around, play'.",leyd-
leg-,"to jump around, run around; to play, frolic; to shake, jitter; to dance",,leyg-
leǵ-,"to bind, tie",The reconstruction is uncertain due to the fact that the supposed reflexes are present in only three branches.,leyǵ-
leǵʰ-,to lick,Reconstruction:Proto-Indo-European/leyǵʰ-,leyǵʰ-
lekʷ-,to leave,"Proto-Indo-European root meaning ""to leave""",leykʷ-
lep-,"to stick, fat or sticky substance","Often supposed to be an extension of *ley-, *(s)ley- 'to slip, slide, glide; slimy'",leyp-
*les-,"to trace, to track",Reconstruction:Proto-Indo-European/leys-,leys-
med-,"to measure, to give advice, healing",,med-
medʰi-,"with], [among","From the adverb *me + *dʰe, locative particle.",medʰi-
megʰ-,to be able,Reconstruction:Proto-Indo-European/megʰ-,megʰ-
me₁-,to measure,Reconstruction:Proto-Indo-European root,meh₁-
me₂-,"good, great; timely, opportune",,meh₂-
me₂d-,"to be wet, to become wet","Pokorny, Fortson, and LIV reconstruct this root as an example of an *a-ablauting stem (*m̥d- ~ *mad- ~ *mād-). On the other hand, the regular outcome of *#R̥HC- in the descendants can account for many of the reflexes. A lot is uncertain about this root.",meh₂d-
me₂ḱ-,"to raise, increase; long","The LIV notes that the only satem language evidence for the palatal *ḱ comes from Gothic 𐬨𐬀𐬯 'great' and its derivatives. The LIV attributes this word to a dialectal variant of Gothic 𐬨𐬀𐬰 from *méǵh₂s. This would also help explain the short root vowel found throughout the Avestan forms. If Avestan does not belong here, then *meh₂k- could very well be the correct form.",meh₂ḱ-
mel-,"to worry, be late",,mel-
mel₂-,"to grind, to crush",etymological notes,melh₂-
*mems-,"flesh, meat","Perhaps from *me-ms-, reduplicated form of *mes-",mems-
men-,"to think, mind; spiritual activity",,men-
mend-,"foal, small horse",,mend-
mensdʰ₁-,"vivacious, wisdom, to pay attention to","A compound root from *men-/t1=to think and *dʰeh₁-/t2=to do, put, lit=to put in mind",men(s)dʰh₁-
mer-merə-,"to die, to disappear",etymological notes,mer-
mers-,to forget,,mers-
*mesg-,"to dip, sink",Reconstruction:Proto-Indo-European/mesg-,mesg-
met-,to cut (by measure),"Part of the same group of roots as *meh₁- ""to measure"", *med- ""to estimate, judge"", possibly also *meh₂- ""to grow, mature"", *medʰi- ""middle, between"", *meǵh₂-/*meǵ-h₂- ""great, big"", all with a sense of ""measurement, estimation > size, distance, amount"".",met-
*meud-,to rejoice,Reconstruction:Proto-Indo-European/mewd-,mewd-
mews-,moss,,mews-
me-,to strengthen,etymological notes,mey-
mek-,"to twinkle, blink",,meyk-
meḱ-,to mix,"Possibly from Proto-Indo-European *mey- ""to change"".",meyḱ-
met₂-,"to change, to exchange, to remove",Possibly derived from *mey- 'change'.,meyth₂-
mlewH-,to say,,mlewH-
mon-,"to think, to warn",,mon-
mreǵʰ-,short,,mreǵʰ-
mregʰ-,brain,Reconstruction:Proto-Indo-European/mregʰ-,mregʰ-
mr̥k-,"to decay, edible herb, tuber, carrot",,mr̥k-
mew₁-,to move,Reconstruction:Proto-Indo-European/m(y)ewh₁-,m(y)ewh₁-
nebʰ-,"to become damp, cloudy",etymological notes,nebʰ-
negʷ-,"bare], [naked",,negʷ-
ne₂w-,"to die, perish; to lack; death",,neh₂w-
neḱ-,"to perish, disappear",etymological notes,neḱ-
nem-,"to distribute, to give, to take",etymological notes,nem-
nes-,to return home (safely),,nes-
new,new,,new-
neigʷ-,to wash,Reconstruction:Proto-Indo-European/neygʷ-,neygʷ-
*neH-,"to lead, to churn (dairy products)","Neo-root from a reanalysis of *(s)neh₁-, with the root laryngeal metathesized to after the *-y- suffix.",neyH-
*neik-,"to winnow, swing grains in a mill",etymological notes,neyk-
*ped-,"to walk, to step; to stumble, to fall",,ped-
peg-,breast,,peg-
pe₁-,"to hate, hurt",,peh₁-
pe₂-,"to protect, to ward; to shepherd",etymological notes,peh₂-
pe₂ǵ-,"to attach, fix, fasten",Reconstruction:Proto-Indo-European/peh₂ǵ-,peh₂ǵ-
pe₂ḱ-,"to join, to attach; agreement, settlement",etymological notes,peh₂ḱ-
pe₂w-,"few], [little], [smallness",,peh₂w-
pe₃-,to drink,Reconstruction:Proto-Indo-European/peh₃-,peh₃-
peḱ-,"to pluck (wool, hair)","from Proto-Indo-European root meaning ""to pluck""",peḱ-
pekʷ-,"to cook, to ripen","It has been suggested that Hittite and Luwian terms which point to a root *pekʷ- to pound, crush, crack (grain) may preserve the original meaning of the PIE root, which later shifted in meaning to ""to prepare food, cook"" by the ancestor of the non-Anatolian branches.",pekʷ-
pel-,"to cover, to wrap; skin, hide, cloth",etymological notes,pel-
pelH-,"pale, gray","Derksen takes the original meaning of the root as ""to burn, singe"", whence secondary senses including ""ashes"" (the result of burning) and ""gray"" (the color of ash).",pelH-
pel₂-,to approach,"Extension of *pel-, to drive.",pelh₂-
pent-,"to pass, path",,pent-
per-,"before], [first",,per-
*perd-,"to fart loudly, pass gas, break wind",etymological notes,perd-
per₃-,"to provide, produce, beget",,perh₃-
perḱ-,"colored, speckled","*perk̑o-, *pork̑o-, *perk̑-no-, *pr̥k̑-no-; *pr̥k̑-nā; *perk̑-nā; *porḱ-u̯ó-; *perk-ro-s zu *pelcro-, *polcro-",perḱ-
perkʷ-,oak,,perkʷ-
pers-,"to sprinkle, to spatter",etymological notes,pers-
pes-,penis,"An alternative explanation regards the sense 'man, male' as original, as in Hittite. The Latin word pēnis presents problems due to the attested chronology of the word's semantics, where 'tail' is older than 'penis', which also aligns with the expected semantic development of such a word (compare e.g. Armenian ձետ 'tail' > 'penis'); the reverse development is less likely.",pes-
*pesd-,"to fart softly, pass gas, break wind",Probably imitative.,pesd-
pet₂-,"to spread out, to fly","Existing in variations, *pet-, *peth₁-, *peth₂-.",peth₂-
pewǵ-,"to punch, fist-fight; to prick, poke, stab",Probably not related to *pewḱ- 'pine'.,pewǵ-
pewH-,"to be clean, pure","Reconstruction of a Proto-Indo-European root meaning ""to be clean, pure""",pewH-
pewḱ-,pine,"According to Beekes, probably not related to *pewǵ- 'to punch, prick'. But compare *peyh₂- 'to swell'.",pewḱ-
peǵ-,"inactive], [reluctant",,peyǵ-
pe₂-,"to swell (with milk), to be swollen, fat",etymological notes,peyh₂-
peḱ-,"to hew, cut out; to stitch, embroider, sting; by extension to paint, mark, color",,peyḱ-
pes-,"to grind, to crush",Reconstruction:Proto-Indo-European/peys-,peys-
ple₁-,to fill,Reconstruction:Proto-Indo-European/pleh₁-,pleh₁-
ple₂-,flat,"Compare *pleth₂- ""flat"" and *pel- ""skin, hide, membrane, cloth"".",pleh₂-
ple₃w-,"to swim, flow",This root is traditionally considered a lengthened *ō-grade of *plew-. The LIV prefers *pleh₃- with either a *-yeti or *-weti present. Derksen suggests either a *-weti present or a conflation of *plew- and *pleh₃-.,pleh₃(w)-
pleḱ-,"to fold, plait, weave","Extended from *pel-, to fold",pleḱ-
plet₂-,"to spread, extend; flat",,pleth₂-
*plew-,"to fly, flow, run",etymological notes,plew-
plewd-,"to fly, flow, run",Extended form of *plew-.,plewd-
*pleuk-,"to fly, flow, run; to splash, to flap with hands","Extended form of *plew- 'to fly, flow, run'",plewk-
pnew-,"to breathe, gasp; to snort, sneeze",Likely onomatopoeic.,pnew-
preg-,"to yearn, to covet",,preg-
pre₂-,"before], [in front","From Proto-Indo-European *per- ""before"".",preh₂-
preḱ-,to ask,Reconstruction:Proto-Indo-European/preḱ-,preḱ-
*prep-,"to appear, to be visible",etymological notes,prep-
pres-,to press,"Possibly an extension of *per-||to attempt, try, risk, but this is guesswork.",pres-
prew-,to jump,Reconstruction:Proto-Indo-European/prew-,prew-
prews-,"to freeze, frost",,prews-
preH-,"to please, to love",Reconstruction:Proto-Indo-European/preyH-,preyH-
pr̥k-,to fear,,pr̥k-
prot-,to understand,,prot-
pterH-,fern,"A hotly disputed root. Derksen prefers to reconstruct *perH-, to which he also assigns Slavic *pero. Matasovic reconstructs *perHt-. Kroonen reconstructs *pterH- under the assumption of a connection with Ancient Greek πτέρις, a connection Derksen and Matasovic do not find phonologically likely; Beekes considers the term a later Greek formation. The only point of agreement between them is that the majority of descendants generally assigned to this root, with the exception of πτέρις, are definitively cognate.",p(t)erH-
puH-,"rotten, foul",etymological notes,puH-
re₁d-,"to scrape, scratch, gnaw",,reh₁d-
re₁t-,"post, beam, pole",,reh₁t-
*sed-,to sit,"Proto-Indo-European root meaning ""to sit""",sed-
seǵʰ-,"to overpower, to take hold of",etymological notes,seǵʰ-
se₁-,"to sow, to scatter",This root is the source of words related to sowing and scattering seeds in many Indo-European languages.,seh₁-
se₂-,"to satiate, satisfy",,seh₂-
se₂g-,to seek out,,seh₂g-
se₂k-,"to make a pact, treaty; to make sacred; ceremony, ritual","The favored connection is now to *seh₂g-, to seek.",seh₂k-
sek-,"to cut, cut off, sever",etymological notes,sek-
sekʷ-,to follow,imperfective root,sekʷ-
sel-,"jump], [spring",LIV rejects the *sh₂el- and *sal- reconstructions and explains the Italo-Celtic sal- as a development of initial *sl̥y-. De Vaan regards the grade of the vowel in the reconstruction of this root as uncertain.,sel-
selǵ-,"to let go, send",etymological notes,selǵ-
sel₁-,to take,"Reconstruction of a Proto-Indo-European root meaning ""to take"".",selh₁-
*selp-,"fat, oil",Reconstruction:Proto-Indo-European/selp-,selp-
sem-,"together], [one",,sem-
sem₂-,"summer, year","May be related to *sēmi ""half"", if the original meaning was ""half-year"" as attested in Vedic. Martirosyan argues that ""year"" was the original meaning.",semh₂-
sengʷ-,"to sink, to fall, to drop",,sengʷ-
sengʷʰ-,"to recite, to sing",Reconstruction:Proto-Indo-European/sengʷʰ-,sengʷʰ-
*sent-,go,Proto-Indo-European root meaning 'go',sent-
*sep-,"to taste, to try out","Kroonen explains the a in Latin, and perhaps Germanic, as a ""schwa secundum"": an epenthetic vowel arising in the zero grade *sp-. De Vaan assumes a laryngeal origin instead, and posits zero-grade *sHp-, while noting that the full grade was likely *seh₁p- based on a long vowel *sēp- found in Sabellic.",sep-
ser-,to flow,,ser-
serḱ-,"to emend, make good, recompense",etymological notes,serḱ-
*serp-,"to creep, crawl",Reconstruction:Proto-Indo-European/serp-,serp-
*ses-,"to rest, to sleep",,ses-
*sew₁-*sew₃-,"to bear (a child), to give birth",Perhaps an extension of *sew-||to pour; squeeze,sewH-
sew₁-,"to press, push (forth)",etymological notes,sewh₁-
sekʷ-,"to moisten, to filter",,seykʷ-
set-,magic,,seyt-
sʷes-,to be extinguished,Reconstruction:Proto-Indo-European/(s)gʷes-,(s)gʷes-
sgʷʰ₂el-,"to stumble, misstep",etymological notes,(s)gʷʰh₂el-
s₁es-,"harvest, crop, fruit","Reanalyzed root from *sh₁es ~ *sh₁s-o-s 'sowing', from *seh₁- 'to sow'.",(s)h₁es-
s₂e-,"to bind, fetter",Probably from *seh₂- 'to bind' + *éy-present verbal suffix,sh₂ey-
skabʰ-,"to scratch, scrape",etymological notes,skabʰ-
skʰe₁w-,"cold, rainy; north","Kroonen derives the Germanic data from *(s)ḱeh₃-, which however is typically reconstructed with -h₃- in order to explain Greek σκότος 'darkness' < Pre-Hellenic *skh₃tós.",(s)ḱeh₁w-
sḱe₁-,"to shine, shimmer","Possibly connected to *(s)ḱeh₃- 'darkness, shadow'.",(s)ḱeh₁y-
sḱe₃-,"darkness, shadow","Possibly connected to *(s)ḱeh₁y- 'to shine, shimmer'.",(s)ḱeh₃-
skel-,"to bend, crook; bent, crooked; bent or curved body parts (leg, heel, knee, hip)",,(s)kel-
skel-,"to be obligated, owe; to be guilty",,skel-
skelH-,"to cut, to split, to separate",etymological notes,(s)kelH-
skel₁-,"to parch, wither",,(s)kelh₁-
*skeng-,"to limp, hobble; to tilt, be askew",,(s)keng-
sker-,"to cut off, sever; to separate, divide",etymological notes,(s)ker-
*skerbʰ-,"to be sharp, to turn around, wind, curve",,(s)kerbʰ-
*skeud-,"to advance, push; to drive, propel",etymological notes,(s)kewd-
skewH-,"to cover, conceal, hide; hide, skin",,(s)kewH-
*skew₁-,"to perceive, to observe",etymological notes,(s)kewh₁-
*ske-,"to split, to dissect",Perhaps from a reanalysis of *sek-||to cut *-éyti|alt2=*-éy-].,skey-
sked-,"to split, to divide",Extension of the root *skey-,skeyd-
skreibʰ-,"to scratch, to tear","Probably an extended form of *(s)ker-, to cut off, sever.",(s)kreybʰ-
*skwe₁t-,"to churn, stir, shake",etymological notes,(s)kweh₁t-
skwe-,"thorn, needle, prickle","thorny, prickly plant",skwey-
sleg-,"to tire out, slacken",,(s)leg-
sle₃-,blueish,,(s)leh₃y-
slewbʰ-,"to slip, slide, glide",,slewbʰ-
sledʰ-,"to slip, slide; to be slippery, slick","May be a derivational extension of the root *(s)ley- ""to slip, slide, be slimy""",sleydʰ-
smal-,"small, little",,(s)mal-
sme₂-,"to beckon, signal",Reconstruction:Proto-Indo-European/(s)meh₂-,(s)meh₂-
smeḱ-,beard]; [chin,,smeḱ-
smel-,"false, erroneous; bad, evil","the connection between each form is semantically fine, however their isolation makes this reconstruction suspect",(s)mel-
smeld-,"to soften, to melt","Often compared to *(s)mel-||to crush, grind",(s)meld-
*smer-,"to fall into thinking, remember, care for",etymological notes,(s)mer-
smerd-,"to bite, to sting",,(s)merd-
*smewk-,"to let loose, release; to slip away, escape, flee",etymological notes,(s)mewk-
*sme-,"to laugh, to be glad",Reconstruction:Proto-Indo-European/(s)mey-,(s)mey-
smet-,to throw,,smeyt-
sneg-,"to crawl, creeping thing",,(s)neg-
sne₁-,"to spin (thread), to sew",,(s)neh₁-
*sne₂-,"to swim, to float",,(s)neh₂-
snerk-,"to loop, wind; to contract, shorten",,(s)nerk-
snewbʰ-,to marry (of a woman),"Possibly related to *snusós 'daughter-in-law', suggesting an underlying *snew- root.",snewbʰ-
snegʷʰ-,to snow,"Karl Hoffman proposed in 1965 that the original meaning of the root was ""to stick, remain"", with semantic shift to ""snow"" (i.e. snow is that which sticks). That sense is still being assigned in LIV. However, that interpretation is highly unlikely, given that all the other daughters except Sanskrit (and also within Indo-Iranian and even Indo-Aryan family itself; cf. Prakrit reflex siṇēha ""snow, hoarfrost"") point to ""to snow"" as the original meaning of the root. According to Cheung (2007), Hoffman's explanation that this meaning could have coexisted with the meaning ""to snow"" is untenable. Cheung (2007) argues that the Sanskrit meaning ""to stick, remain; sticky fluid"" is secondary (possibly of slang origin) ""perhaps from whitish bodily fluids which are compared to snow, notably snot and spit"".",sneygʷʰ-
sol₂-,whole,,solh₂-
spe₁-,"to succeed, to prosper",,speh₁-
speḱ-,"to see, to look, to observe",The Greek roots show a metathesized *sḱep-,speḱ-
spel-,"to say aloud, recite; to publicly speak; to tell","Possibly from *bʰel-, with an s-mobile prefix.",(s)pel-
spend-,to stretch,Possibly reanalyzed root of *(s)penh₁- 'to spin (thread); to stretch' + *-dʰh₁eti.,(s)pend-
spend-,to libate,,spend-
spen₁-,"to twist, to weave",etymological notes,(s)penh₁-
sperdʰ-,"to compete, contest, struggle",Reconstruction:Proto-Indo-European/sperdʰ-,sperdʰ-
sperH-,to kick,with *h₁,sperH-
spewd-,"to press, to push",etymological notes,spewd-
spe-,"long, thin, sharp",,spey-
spek-,name of a bird,Reconstruction:Proto-Indo-European/(s)peyk-,(s)peyk-
spoH-,foam,De Vaan and Lubotsky suggest that this may be derived from a y-extension of *speh₁- 'to be filled to the brim'.,(s)poH(y)-
*sprengʰ-,to spring,etymological notes,(s)prengʰ-
srebʰ-,"to sip, gulp, suck (in)",,srebʰ-
*sreu-,"to flow, stream","Derived from Proto-Indo-European *ser-, whence also Latin serum.",srew-
stebʰ-,"to stand still, to harden",,stebʰ-
s̥teg-,to cover,,(s)teg-
stegʷʰ-,to enlace,,stegʷʰ-
ste₂-,to stand (up),,steh₂-
ste₂-,to steal,,(s)teh₂y-
stel-,"to put, to place; to be stiff (< to be set/firm)",,stel-
stelH-,"to be silent, be still",,(s)telH-
stengʷ-,to push,"Reconstruction of a Proto-Indo-European root meaning ""to push"".",stengʷ-
*sten₂-,to thunder,Idg. *(s)tenh₂,(s)tenh₂-
*ster-,"barren, infertile",etymological notes,ster-
sterbʰ-,"to exert (force, work, treatment); to become stiff","According to LIV, the root is an example of Siebs's law, probably from *dʰer- ""to hold, to support"" enlarged by *-bʰ; or it could be just an enlargement of *sterh₃- ""to stretch"" or of *ster-/*sterh₁- ""to be stiff"".",sterbʰ-
ster₃-,"to spread, extend, stretch out",Extension of *ster- 'to spread',sterh₃-
sttew-,"to push, to hit",etymological notes,(s)tew-
*steu-,"to praise, laud",etymological notes,stew-
stewd-,"to push, to hit","Extended from *(s)tew-, to push, hit",(s)tewd-
stewg-,"to push, to hit","Extended from *(s)tew- to push, hit",(s)tewg-
stewk-,"to push, press; to strike, beat; to stick into, pierce, perforate","Extended from *(s)tew- 'to push, hit'",(s)tewk-
*stewp-,"to push, to stick","Extended from *stew- 'to push, hit'",(s)tewp-
*steg-,"to be sharp, to sting",etymological notes,(s)teyg-
stegʰ-,"to go, to climb",Reconstruction:Proto-Indo-European/steygʰ-,steygʰ-
ste₂-,to stiffen,"Apparently derived from an i-present to *steh₂-, to stand",steyh₂-
strengʰ-,"to twist, rope, cord","Possibly related to *sterh₃- to spread, to extend.",strengʰ-
*streu-,"to spread, to strew","Extended form of *sterh₃- 'to spread, stretch out'.",strew-
streg-,"to stroke, rub, strike; to shear",,streyg-
stru-,"gray-haired, old",,stru-
stwerH-,"to stir up, agitate; to urge on, propel",,(s)twerH-
swe₂d-,"sweet, tasty","Reconstruction of a Proto-Indo-European root meaning ""sweet, tasty""",sweh₂d-
swe₂gʰ-,to sound,,(s)weh₂gʰ-
swen₂-,to sound,etymological notes,swenh₂-
swep-,to sleep,"Proto-Indo-European root meaning ""to sleep""",swep-
swer-,"to ache, to fester, wound; injury",etymological notes,swer-
swerd-,"dirty, dark, black","Reconstruction of a Proto-Indo-European root meaning ""dirty, dark, black""",swerd-
swergʰ-,"to be ill, to take care of",,swergʰ-
swed-,"sweat, to sweat",Proto-Indo-European root meaning 'sweat',sweyd-
sew₁-,to sew,,syewh₁-
su₁-,to swell,,syuh₁-
te₂-,"to melt, to flow, stream",,teh₂-
